mean.Temperature_60,grad.Temperature_60,sd.Temperature_60,mean.Temperature_480,grad.Temperature_480,sd.Temperature_480,mean.Humidity_60,grad.Humidity_60,sd.Humidity_60,mean.Humidity_480,grad.Humidity_480,sd.Humidity_480,mean.Winvel_60,grad.Winvel_60,sd.Winvel_60,mean.Winvel_480,grad.Winvel_480,sd.Winvel_480,mean.Solar_60,grad.Solar_60,sd.Solar_60,mean.Solar_480,grad.Solar_480
13.3,1e-15,0.0,13.3,1e-15,0.0,90.5,-0.2,0.707106781,90.5,-0.2,0.707106781,1.1,0.08,0.282842712,1.1,0.08,0.282842712,560.0,2.8,9.899494937,560.0,2.8
13.3,1e-15,0.0,13.3,1e-15,0.0,89.5,-0.2,0.707106781,89.5,-0.2,0.707106781,1.1,0.08,0.282842712,1.1,0.08,0.282842712,587.0,3.2,11.3137085,587.0,3.2
13.6,0.04,0.2,13.6,0.04,0.2,89.0,-0.1,1.0,89.0,-0.1,1.0,1.033333333,-0.04,0.230940108,1.033333333,-0.04,0.230940108,620.0,2.6,13.0,620.0,2.6
14.36,0.044,0.350713558,14.36,0.044,0.350713558,86.8,-0.1,0.836660027,86.8,-0.1,0.836660027,0.7,-3.04e-13,0.273861279,0.7,-3.04e-13,0.273861279,672.8,2.54,20.09228708,672.8,2.54
15.0,0.04,0.141421356,15.0,0.04,0.141421356,84.0,0.0,0.0,84.0,0.0,0.0,0.85,-0.18,0.636396103,0.85,-0.18,0.636396103,717.5,2.6,9.192388155,717.5,2.6
15.44,0.006,0.054772256,15.44,0.006,0.054772256,82.4,0.02,0.547722558,82.4,0.02,0.547722558,1.06,0.008,0.219089023,1.06,0.008,0.219089023,769.8,2.3,18.19890107,769.8,2.3
15.7,0.016,0.141421356,15.7,0.016,0.141421356,81.6,-0.02,0.547722558,81.6,-0.02,0.547722558,1.24,-3.44e-13,0.371483512,1.24,-3.44e-13,0.371483512,832.6,1.84,14.62190138,832.6,1.84
16.05,0.028,0.191485422,16.05,0.028,0.191485422,80.25,-0.06,0.957427108,80.25,-0.06,0.957427108,1.2,0.024,0.2,1.2,0.024,0.2,869.5,1.56,10.11599394,869.5,1.56
16.5,0.021428571,0.25819889,16.5,0.021428571,0.25819889,78.71428571,-0.057142857,0.951189731,78.71428571,-0.057142857,0.951189731,1.128571429,0.008571429,0.213808994,1.128571429,0.008571429,0.213808994,898.5714286,1.65,21.16488556,898.5714286,1.65
16.75,-0.06,0.212132034,16.75,-0.06,0.212132034,77.0,4.02e-15,0.0,77.0,4.02e-15,0.0,1.55,0.1,0.353553391,1.55,0.1,0.353553391,918.5,0.6,2.121320344,918.5,0.6
